date,airline,airplane,IATA,arrive
20200322,  대한항공,KE624,MNL,도착
20200322,  대한항공,KE012,LAX,도착
20200322,  대한항공,KE026,SFO,도착
20200322,  아시아나항공,OZ704,MNL,도착
20200322,  대한항공,KE632,CEB,도착
20200322,  아에로멕시코,AM090,MEX,취소
20200322,  아시아나항공,OZ708,CRK,도착
20200322,  아시아나항공,OZ710,CEB,도착
20200322,  아시아나항공,OZ7363,SGN,도착
20200322,  타이항공,TG656,BKK,도착
20200322,  아시아나항공,OZ740,PNH,도착
20200322,  대한항공,KE654,BKK,도착
20200322,  대한항공,KE638,HKT,도착
20200322,  대한항공,KE1404,PUS,도착
20200322,  가루다인도네시아,GA870,DPS,도착
20200322,  오로라항공,HZ5450,KHV,도착
20200322,  중화항공,CI160,TPE,도착
20200322,  산동항공,SC4617,TAO,도착
20200322,  중국남방항공,CZ681,SHE,도착
20200322,  오로라항공,HZ5496,UUS,도착
20200322,  아시아나항공,OZ542,FRA,도착
20200322,  오로라항공,HZ5436,VVO,도착
20200322,  하문항공,MF871,XMN,도착
20200322,  대한항공,KE832,SHE,도착
20200322,  중국국제항공,CA143,YNJ,도착
20200322,  대한항공,KE908,LHR,도착
20200322,  아시아나항공,OZ352,YNJ,도착
20200322,  대한항공,KE074,YYZ,도착
20200322,  네덜란드항공,KL855,AMS,도착
20200322,  에티오피안항공,ET672,ADD,지연
20200322,  대한항공,KE902,CDG,도착
20200322,  아시아나항공,OZ364,PVG,지연
20200322,  델타항공,DL199,SEA,도착
20200322,  아시아나항공,OZ221,JFK,도착
20200322,  대한항공,KE082,JFK,도착
20200322,  델타항공,DL159,DTW,도착
20200322,  대한항공,KE094,IAD,지연
20200322,  카타르항공,QR858,DOH,도착
20200322,  중국국제항공,CA125,PEK,도착
20200322,  에미레이트항공,EK322,DXB,도착
20200322,  아시아나항공,OZ348,XIY,지연
20200322,  대한항공,KE898,PVG,도착
20200322,  대한항공,KE660,BKK,도착
20200322,  일본항공,JL8951,NRT,도착
20200322,  아시아나항공,OZ201,LAX,도착
20200322,  대한항공,KE072,YVR,도착
20200322,  대한항공,KE054,HNL,도착
20200322,  대한항공,KE636,CRK,도착
20200322,  아시아나항공,OZ334,PEK,지연
20200322,  장영항공(長榮),BR160,TPE,도착
20200322,  진에어,LJ022,CEB,도착
20200322,  아시아나항공,OZ624,SPN,도착
20200322,  대한항공,KE114,GUM,도착
20200322,  대한항공,KE002,HNL,도착
20200322,  아시아나항공,OZ310,WEH,지연
20200322,  우즈베키스탄항공,HY3553,TAS,지연
20200322,  제주항공,7C1363,KIX,도착
20200322,  청도항공,QW9901,TAO,도착
20200322,  제주항공,7C1169,NRT,도착
20200323,  에티오피안항공,ET673,NRT,도착
20200323,  대한항공,KE854,PEK,지연
20200323,  대한항공,KE624,MNL,도착
20200323,  대한항공,KE012,LAX,도착
20200323,  대한항공,KE026,SFO,도착
20200323,  제주항공,7C2306,MNL,도착
20200323,  아시아나항공,OZ324,CTU,도착
20200323,  아시아나항공,OZ704,MNL,도착
20200323,  대한항공,KE632,CEB,도착
20200323,  아시아나항공,OZ708,CRK,도착
20200323,  대한항공,KE690,PNH,도착
20200323,  아시아나항공,OZ710,CEB,도착
20200323,  타이항공,TG656,BKK,도착
20200323,  아시아나항공,OZ762,CGK,도착
20200323,  대한항공,KE654,BKK,도착
20200323,  영국항공,BA17,LHR,도착
20200323,  대한항공,KE1404,PUS,도착
20200323,  가루다인도네시아,GA870,DPS,도착
20200323,  대한항공,KE630,DPS,도착
20200323,  아시아나항공,OZ610,ROR,도착
20200323,  에어아스타나항공,KC909,ALA,도착
20200323,  중국동방항공,MU579,NKG,도착
20200323,  중화항공,CI160,TPE,도착
20200323,  산동항공,SC4617,TAO,도착
20200323,  중국남방항공,CZ681,SHE,도착
20200323,  아시아나항공,OZ542,FRA,도착
20200323,  오로라항공,HZ5436,VVO,도착
20200323,  대한항공,KE832,SHE,지연
20200323,  중국국제항공,CA143,YNJ,도착
20200323,  대한항공,KE908,LHR,도착
20200323,  중국동방항공,MU267,YNT,도착
20200323,  아시아나항공,OZ352,YNJ,도착
20200323,  유나이티드항공,UA893,SFO,도착
20200323,  싱가폴항공,SQ600,SIN,도착
20200323,  대한항공,KE902,CDG,도착
20200323,  아시아나항공,OZ364,PVG,지연
20200323,  에어캐나다,AC063,YVR,도착
20200323,  아시아나항공,OZ221,JFK,도착
20200323,  대한항공,KE082,JFK,도착
20200323,  대한항공,KE038,ORD,도착
20200323,  중국남방항공,CZ695,DLC,도착
20200323,  카타르항공,QR858,DOH,도착
20200323,  중국국제항공,CA125,PEK,도착
20200323,  아시아나항공,OZ370,CAN,도착
20200323,  대한항공,KE898,PVG,지연
20200323,  대한항공,KE036,ATL,도착
20200323,  대한항공,KE660,BKK,도착
20200323,  아시아나항공,OZ201,LAX,도착
20200323,  아시아나항공,OZ231,HNL,도착
20200323,  대한항공,KE072,YVR,도착
20200323,  대한항공,KE054,HNL,도착
20200323,  중국남방항공,CZ683,HRB,도착
20200323,  장영항공(長榮),BR160,TPE,도착
20200323,  대한항공,KE002,HNL,도착
20200323,  제주항공,7C1363,KIX,도착
20200323,  에어아시아 엑스,D7508,KUL,도착
20200323,  제주항공,7C1169,NRT,도착
20200324,  대한항공,KE624,MNL,도착
20200324,  제주항공,7C4704,SGN,도착
