국적,목적,201912,202001,202002,202003
Asia,관광,1084718,897879,417316,19227
Asia,상용,10203,9593,4224,602
Asia,공용,2470,1389,1031,120
Asia,유학연수,20048,17488,35548,12663
Asia,기타,116785,137660,79481,17709
Japan,관광,248793,194840,205007,6478
Japan,상용,1738,2804,1162,282
Japan,공용,166,141,64,16
Japan,유학연수,769,1035,1536,868
Japan,기타,3890,5149,3430,703
Japan,관광,3697,2391,2061,555
Japan,상용,2183,2094,972,42
Japan,공용,88,56,19,5
Japan,유학연수,100,166,284,92
Japan,기타,4140,4542,2503,893
Vietnam,관광,18158,18058,9197,941
Vietnam,상용,1136,747,626,15
Vietnam,공용,295,54,49,5
Vietnam,유학연수,4005,3122,9647,2200
Vietnam,기타,7127,8251,10794,887
Myanmar,관광,1964,1273,1271,741
Myanmar,상용,8,9,7,0
Myanmar,공용,40,47,19,0
Myanmar,유학연수,70,98,186,109
Myanmar,기타,4818,4227,2836,1669
Mongolia,관광,8531,10081,5210,191
Mongolia,상용,65,83,42,5
Mongolia,공용,299,359,264,9
Mongolia,유학연수,535,840,427,357
Mongolia,기타,612,960,456,112
Sri Lanka,관광,211,119,146,20
Sri Lanka,상용,47,26,26,1
Sri Lanka,공용,2,2,0,0
Sri Lanka,유학연수,7,27,37,19
Sri Lanka,기타,1046,1203,879,401
Pakistan,관광,404,229,221,70
Pakistan,상용,166,166,150,44
Pakistan,공용,20,23,22,5
Pakistan,유학연수,81,181,236,138
Pakistan,기타,488,415,408,217
Bangladesh,관광,289,189,115,77
Bangladesh,상용,148,110,85,8
Bangladesh,공용,94,19,25,1
Bangladesh,유학연수,52,95,149,133
Bangladesh,기타,1014,886,622,347
China,관광,504215,459173,69889,5213
China,상용,4000,2864,739,119
China,공용,685,107,13,2
China,유학연수,13469,10604,21037,7439
China,기타,58259,75895,33374,4084
Taiwan,관광,88881,108623,51881,274
Taiwan,상용,79,95,52,6
Taiwan,공용,13,20,11,1
Taiwan,유학연수,267,285,393,125
Taiwan,기타,1139,1331,705,179
Philippines,관광,28484,15002,12730,2048
Philippines,상용,117,155,69,13
Philippines,공용,106,169,89,33
Philippines,유학연수,69,211,177,67
Philippines,기타,14505,15165,7267,2378
Thailand,관광,49231,31232,25382,1059
Thailand,상용,53,44,32,21
Thailand,공용,224,110,200,11
Thailand,유학연수,119,126,185,124
Thailand,기타,6223,6954,5978,1156
Malaysia,관광,55329,24541,15459,289
Malaysia,상용,119,101,68,4
Malaysia,공용,3,1,8,1
Malaysia,유학연수,89,139,430,102
Malaysia,기타,2224,2767,2576,494
Singapore,관광,40707,9157,4592,159
Singapore,상용,112,80,49,5
Singapore,공용,13,7,3,6
Singapore,유학연수,76,54,132,13
Singapore,기타,1308,1440,1133,36
Indonesia,관광,23216,14336,12155,1030
Indonesia,상용,126,98,47,6
Indonesia,공용,216,46,80,7
Indonesia,유학연수,117,231,374,373
Indonesia,기타,6041,4732,3144,2344
Asia etc,관광,12608,8635,2000,82
Asia etc,상용,106,117,98,31
Asia etc,공용,206,228,165,18
Asia etc,유학연수,223,274,318,504
Asia etc,기타,3951,3743,3376,1809
Middle East,관광,10050,8929,5980,492
Middle East,상용,988,897,1158,92
Middle East,공용,79,31,17,5
Middle East,유학연수,436,1007,1696,445
Middle East,기타,4890,6356,5998,1052
Uzbekistan,관광,2341,2025,2074,89
Uzbekistan,상용,532,474,700,19
Uzbekistan,공용,7,7,0,0
Uzbekistan,유학연수,252,625,1141,260
Uzbekistan,기타,2329,3004,2973,414
Turkey,관광,1322,952,520,114
Turkey,상용,13,20,11,2
Turkey,공용,37,8,8,0
Turkey,유학연수,26,33,98,21
Turkey,기타,1107,1195,1147,105
Israel,관광,788,723,329,61
Israel,상용,9,13,4,2
Israel,공용,2,2,1,0
Israel,유학연수,5,5,8,3
Israel,기타,35,60,10,2
Iran,관광,114,57,35,9
Iran,상용,69,44,25,1
Iran,공용,5,1,1,1
Iran,유학연수,20,20,56,12
Iran,기타,45,54,43,11
Kazakhstan,관광,2415,2815,1773,144
Kazakhstan,상용,8,21,13,4
Kazakhstan,공용,2,5,2,1
Kazakhstan,유학연수,57,130,171,95
Kazakhstan,기타,906,1354,1245,323
Jordan,관광,91,75,69,13
Jordan,상용,56,51,50,6
Jordan,공용,5,1,0,0
Jordan,유학연수,3,7,14,4
Jordan,기타,38,46,35,22
Saudi Arabia,관광,548,778,200,10
Saudi Arabia,상용,28,43,28,4
Saudi Arabia,공용,10,5,2,1
Saudi Arabia,유학연수,34,94,59,13
Saudi Arabia,기타,39,137,29,1
Iraq,관광,84,58,54,5
Iraq,상용,96,83,70,18
Iraq,공용,1,0,0,0
Iraq,유학연수,3,8,8,2
Iraq,기타,4,7,10,1
Middle East etc,관광,2347,1446,926,47
Middle East etc,상용,177,148,257,36
Middle East etc,공용,10,2,3,2
Middle East etc,유학연수,36,85,141,35
Middle East etc,기타,387,499,506,173
Americas,관광,75502,57337,35781,5513
Americas,상용,431,580,246,57
Americas,공용,3503,3818,2253,621
Americas,유학연수,537,543,1380,190
Americas,기타,19511,25214,17157,7729
US,관광,58743,43866,26407,3995
US,상용,365,495,219,47
US,공용,3436,3712,2200,598
US,유학연수,355,286,848,79
US,기타,14488,18896,12765,5851
Ecuador,관광,134,59,113,24
Ecuador,상용,0,0,0,0
Ecuador,공용,0,1,2,0
Ecuador,유학연수,8,19,21,10
Ecuador,기타,35,38,31,5
Cuba,관광,3,1,8,1
Cuba,상용,0,0,0,0
Cuba,공용,1,0,0,0
Cuba,유학연수,3,3,3,1
Cuba,기타,3,6,3,3
Canada,관광,11377,8793,5834,1022
Canada,상용,38,52,16,3
Canada,공용,30,33,22,9
Canada,유학연수,49,41,109,21
Canada,기타,3798,4890,3065,1350
Brazil,관광,1561,1310,769,107
Brazil,상용,13,15,6,3
Brazil,공용,8,13,3,4
Brazil,유학연수,22,35,71,18
Brazil,기타,329,428,339,159
Mexico,관광,1852,1478,878,150
Mexico,상용,6,7,1,1
Mexico,공용,1,15,4,2
Mexico,유학연수,62,65,135,26
Mexico,기타,461,548,525,209
Chile,관광,217,331,413,41
Chile,상용,2,2,1,0
Chile,공용,2,0,0,0
Chile,유학연수,5,9,16,2
Chile,기타,64,41,65,6
Argentina,관광,290,357,290,32
Argentina,상용,0,0,1,0
Argentina,공용,1,0,1,0
Argentina,유학연수,1,4,14,0
Argentina,기타,43,61,51,39
Colombia,관광,438,293,216,34
Colombia,상용,0,1,0,1
Colombia,공용,11,8,2,4
Colombia,유학연수,13,24,39,10
Colombia,기타,47,50,48,24
Peru,관광,258,276,253,38
Peru,상용,2,1,0,1
Peru,공용,5,10,6,0
Peru,유학연수,6,17,39,8
Peru,기타,26,23,12,6
Venezuela,관광,60,56,80,10
Venezuela,상용,1,1,0,0
Venezuela,공용,0,4,0,0
Venezuela,유학연수,1,6,7,1
Venezuela,기타,65,91,99,24
Americas etc,관광,569,517,520,59
Americas etc,상용,4,6,2,1
Americas etc,공용,8,22,13,4
Americas etc,유학연수,12,34,78,14
Americas etc,기타,152,142,154,53
Europe,관광,53526,49810,36379,5657
Europe,상용,934,1481,748,274
Europe,공용,175,301,117,63
Europe,유학연수,1374,1304,2911,750
Europe,기타,17504,20285,15090,6342
Russia,관광,18951,20746,15487,2189
Russia,상용,172,192,155,42
Russia,공용,22,42,10,4
Russia,유학연수,107,139,288,115
Russia,기타,7318,7772,6217,2950
Poland,관광,789,734,559,134
Poland,상용,12,18,12,12
Poland,공용,0,4,0,0
Poland,유학연수,21,23,52,12
Poland,기타,585,779,583,164
Denmark,관광,583,484,500,91
Denmark,상용,11,19,7,0
Denmark,공용,5,18,5,2
Denmark,유학연수,25,15,54,10
Denmark,기타,158,129,74,11
Greece,관광,476,379,463,129
Greece,상용,18,37,14,4
Greece,공용,0,8,0,2
Greece,유학연수,1,0,4,5
Greece,기타,259,199,182,59
Switzerland,관광,896,614,432,60
Switzerland,상용,14,25,11,4
Switzerland,공용,4,4,2,0
Switzerland,유학연수,18,20,62,14
Switzerland,기타,82,99,59,27
Norway,관광,557,437,354,53
Norway,상용,22,29,10,4
Norway,공용,1,6,0,1
Norway,유학연수,30,23,54,19
Norway,기타,53,48,23,20
Spain,관광,1425,1121,750,127
Spain,상용,12,42,4,6
Spain,공용,17,26,8,5
Spain,유학연수,68,65,111,26
Spain,기타,211,306,195,91
Romania,관광,349,372,228,86
Romania,상용,8,17,5,3
Romania,공용,1,7,1,2
Romania,유학연수,3,10,18,6
Romania,기타,413,450,219,76
Belgium,관광,570,471,343,62
Belgium,상용,11,27,8,6
Belgium,공용,3,3,3,2
Belgium,유학연수,29,23,35,8
Belgium,기타,141,198,158,86
Germany,관광,5714,4648,3725,611
Germany,상용,139,239,133,41
Germany,공용,21,34,19,8
Germany,유학연수,265,205,491,121
Germany,기타,1165,1491,1231,414
United Kingdom,관광,7356,6811,3936,550
United Kingdom,상용,103,186,68,26
United Kingdom,공용,16,22,15,9
United Kingdom,유학연수,47,72,123,44
United Kingdom,기타,1213,2026,1424,544
France,관광,5202,3951,3355,528
France,상용,203,303,123,62
France,공용,34,53,27,19
France,유학연수,426,392,907,184
France,기타,887,1283,708,424
Netherlands,관광,1802,1560,1076,156
Netherlands,상용,23,30,16,5
Netherlands,공용,8,9,2,0
Netherlands,유학연수,100,69,158,29
Netherlands,기타,526,888,815,407
Ukraine,관광,600,493,653,214
Ukraine,상용,60,78,80,30
Ukraine,공용,3,8,3,2
Ukraine,유학연수,8,33,52,7
Ukraine,기타,1509,1343,830,377
Italy,관광,2299,2006,1045,73
Italy,상용,52,138,38,13
Italy,공용,9,26,4,2
Italy,유학연수,39,55,77,18
Italy,기타,685,655,554,142
Bulgaria,관광,173,132,126,40
Bulgaria,상용,1,4,0,0
Bulgaria,공용,3,2,2,0
Bulgaria,유학연수,4,13,6,8
Bulgaria,기타,261,200,84,32
Sweden,관광,1105,696,491,115
Sweden,상용,18,33,14,4
Sweden,공용,9,5,2,1
Sweden,유학연수,62,12,83,38
Sweden,기타,96,101,60,30
Europe etc,관광,4679,4155,2856,439
Europe etc,상용,55,64,50,12
Europe etc,공용,19,24,14,4
Europe etc,유학연수,121,135,336,86
Europe etc,기타,1942,2318,1674,488
Oceania,관광,21567,15046,7053,469
Oceania,상용,83,96,53,18
Oceania,공용,39,38,22,9
Oceania,유학연수,45,34,92,16
Oceania,기타,2162,2541,1672,573
Australia,관광,17818,12320,5689,363
Australia,상용,67,86,44,15
Australia,공용,25,19,15,3
Australia,유학연수,42,26,82,12
Australia,기타,1337,1588,1027,367
New Zealand,관광,3595,2638,1288,90
New Zealand,상용,14,10,5,3
New Zealand,공용,10,15,4,4
New Zealand,유학연수,3,7,5,4
New Zealand,기타,733,883,610,174
Kiribati,관광,19,5,18,6
Kiribati,공용,0,0,0,0
Kiribati,유학연수,0,0,0,0
Kiribati,기타,63,32,20,27
Fiji,관광,55,30,19,1
Fiji,공용,1,3,0,0
Fiji,유학연수,0,1,2,0
Fiji,기타,15,15,9,2
Oceania etc,관광,80,53,39,9
Oceania etc,상용,2,0,4,0
Oceania etc,공용,3,1,3,2
Oceania etc,유학연수,0,0,3,0
Oceania etc,기타,14,23,6,3
Africa,관광,1938,1453,1441,132
Africa,상용,647,502,526,134
Africa,공용,66,71,59,6
Africa,유학연수,96,216,437,145
Africa,기타,1253,1956,1697,766
South Africa,관광,665,509,328,29
South Africa,상용,3,10,7,0
South Africa,공용,0,3,1,0
South Africa,유학연수,3,7,6,0
South Africa,기타,251,743,662,208
Nigeria,관광,79,30,78,10
Nigeria,상용,41,49,71,26
Nigeria,공용,6,8,9,1
Nigeria,유학연수,12,14,45,13
Nigeria,기타,59,57,50,33
Egypt,관광,168,112,87,19
Egypt,상용,120,95,86,15
Egypt,공용,9,2,3,0
Egypt,유학연수,4,16,25,6
Egypt,기타,138,137,114,63
Africa etc,관광,1026,802,948,74
Africa etc,상용,483,348,362,93
Africa etc,공용,51,58,46,5
Africa etc,유학연수,77,179,361,126
Africa etc,기타,805,1019,871,462
