iata_code,name,continent,iso_country
UTK,Utirik Airport,OC,MH
OCA,Ocean Reef Club Airport,NA,US
PQS,Pilot Station Airport,NA,US
CSE,Crested Butte Airpark,NA,US
JCY,LBJ Ranch Airport,NA,US
PMX,Metropolitan Airport,NA,US
NUP,Nunapitchuk Airport,NA,US
ICY,Icy Bay Airport,NA,US
KKK,Kalakaket Creek AS Airport,NA,US
MHS,Dunsmuir Muni-Mott Airport,NA,US
NIR,Chase Field Industrial Airport,NA,US
GCT,Grand Canyon Bar Ten Airstrip,NA,US
LVD,Lime Village Airport,NA,US
HGZ,Hog River Airport,NA,US
OTN,Ed-Air Airport,NA,US
TLF,Telida Airport,NA,US
BZT,Eagle Air Park,NA,US
BYW,Blakely Island Airport,NA,US
DRF,Drift River Airport,NA,US
BDF,Rinkenberger Restricted Landing Area,NA,US
VRS,Roy Otten Memorial Airfield,NA,US
ATT,Atmautluak Airport,NA,US
LIV,Livengood Camp Airport,NA,US
PDB,Pedro Bay Airport,NA,US
KOZ,Ouzinkie Airport,NA,US
TNK,Tununak Airport,NA,US
MNT,Minto Al Wright Airport,NA,US
NNK,Naknek Airport,NA,US
BCS,Southern Seaplane Airport,NA,US
BWL,Earl Henry Airport,NA,US
CWS,Center Island Airport,NA,US
TEK,Tatitlek Airport,NA,US
DUF,Pine Island Airport,NA,US
SSW,Stuart Island Airpark,NA,US
FOB,Fort Bragg Airport,NA,US
AXB,Maxson Airfield,NA,US
REE,Reese Airpark,NA,US
WDN,Waldron Airstrip,NA,US
CHU,Chuathbaluk Airport,NA,US
UGS,Ugashik Airport,NA,US
MXG,Marlboro Airport,NA,US
KLL,Levelock Airport,NA,US
WTL,Tuntutuliak Airport,NA,US
TWA,Twin Hills Airport,NA,US
KCQ,Chignik Lake Airport,NA,US
AAD,Adado Airport,AF,SO
ABP,Atkamba Airport,OC,PG
ADC,Andakombe Airport,OC,PG
ADV,El Daein Airport,AF,SD
AEE,Adareil Airport,AF,SS
AEK,Aseki Airport,OC,PG
AEQ,Ar Horqin Airport,AS,CN
URZ,Or횇짬zg횆혖n Airport,AS,AF
OLR,Salerno Airport,AS,AF
AFR,Afore Airstrip,OC,PG
AFT,Afutara Aerodrome,OC,SB
RNA,Ulawa Airport,OC,SB
ATD,Uru Harbour Airport,OC,SB
VEV,Barakoma Airport,OC,SB
GEF,Geva Airport,OC,SB
AGG,Angoram Airport,OC,PG
AKS,Gwaunaru'u Airport,OC,SB
BNY,Bellona/Anua Airport,OC,SB
CHY,Choiseul Bay Airport,OC,SB
BAS,Ballalae Airport,OC,SB
FRE,Fera/Maringe Airport,OC,SB
MBU,Babanakira Airport,OC,SB
AVU,Avu Avu Airport,OC,SB
IRA,Ngorangora Airport,OC,SB
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,OC,SB
GZO,Nusatupe Airport,OC,SB
MNY,Mono Airport,OC,SB
PRS,Parasi Airport,OC,SB
RNL,Rennell/Tingoa Airport,OC,SB
EGM,Sege Airport,OC,SB
NNB,Santa Ana Airport,OC,SB
RUS,Marau Airport,OC,SB
VAO,Suavanao Airport,OC,SB
