China,Asia,Europe,America,Africa,Australia,sum,date,date2
0,2,8,5,0,0,15,3/22/20,20200322
0,0,6,8,0,0,14,3/23/20,20200323
0,0,18,4,0,0,22,3/24/20,20200324
0,4,29,18,0,0,51,3/25/20,20200325
0,3,25,11,0,0,39,3/26/20,20200326
0,1,11,7,0,0,19,3/27/20,20200327
0,4,25,12,0,0,41,3/28/20,20200328
0,4,23,14,0,0,41,3/29/20,20200329
0,1,12,16,0,0,29,3/30/20,20200330
0,2,13,14,0,0,29,3/31/20,20200331
0,4,14,17,1,0,36,4/1/20,20200401
0,3,15,18,0,0,36,4/2/20,20200402
0,3,20,15,0,0,38,4/3/20,20200403
0,6,18,30,0,0,54,4/4/20,20200404
0,8,16,16,0,0,40,4/5/20,20200405
0,0,3,13,0,0,16,4/6/20,20200406
0,1,3,13,0,0,17,4/7/20,20200407
0,2,12,10,0,0,24,4/8/20,20200408
0,0,5,18,0,0,23,4/9/20,20200409
0,0,2,3,0,0,5,4/10/20,20200410
0,1,3,8,0,0,12,4/11/20,20200411
0,2,4,18,0,0,24,4/12/20,20200412
0,1,3,12,0,0,16,4/13/20,20200413
0,1,2,9,0,0,12,4/14/20,20200414
0,2,6,7,0,1,16,4/15/20,20200415
0,2,2,7,0,0,11,4/16/20,20200416
0,3,1,10,0,0,14,4/17/20,20200417
0,1,2,6,0,0,9,4/18/20,20200418
0,0,2,3,0,0,5,4/19/20,20200419
0,0,0,7,0,0,7,4/20/20,20200420
0,1,1,3,0,0,5,4/21/20,20200421
0,2,2,2,0,0,6,4/22/20,20200422
1,1,0,2,0,0,4,4/23/20,20200423
0,0,0,2,0,0,2,4/24/20,20200424
0,0,1,3,0,0,4,4/25/20,20200425
0,3,3,3,0,0,9,4/26/20,20200426
0,2,2,3,0,0,7,4/27/20,20200427
0,6,4,2,0,0,12,4/28/20,20200428
1,1,2,1,0,0,5,4/29/20,20200429
1,1,0,2,0,0,4,4/30/20,20200430
0,4,1,3,0,0,8,5/1/20,20200501
0,2,1,3,0,0,6,5/2/20,20200502
0,4,2,4,0,0,10,5/3/20,20200503
0,5,0,3,0,0,8,5/4/20,20200504
0,1,1,1,0,0,3,5/5/20,20200505
0,2,0,0,0,0,2,5/6/20,20200506
0,1,0,2,0,0,3,5/7/20,20200507
0,8,0,3,0,0,11,5/8/20,20200508
0,1,0,0,0,0,1,5/9/20,20200509
0,2,1,2,3,0,8,5/10/20,20200510
0,2,1,2,1,0,6,5/11/20,20200511
0,1,1,2,1,0,5,5/12/20,20200512
0,3,0,1,0,0,4,5/13/20,20200513
0,2,0,1,0,0,3,5/14/20,20200514
0,3,1,1,0,0,5,5/15/20,20200515
0,6,1,3,0,0,10,5/16/20,20200516
0,1,1,5,0,0,7,5/17/20,20200517
0,6,1,3,0,0,10,5/18/20,20200518
0,0,0,4,0,0,4,5/19/20,20200519
0,6,0,2,0,0,8,5/20/20,20200520
0,1,0,1,0,0,2,5/21/20,20200521
0,8,0,1,0,0,9,5/22/20,20200522
0,4,0,0,0,0,4,5/23/20,20200523
0,3,1,4,0,0,8,5/24/20,20200524
0,2,0,1,0,0,3,5/25/20,20200525
0,2,0,1,0,0,3,5/26/20,20200526
0,1,0,2,0,0,3,5/27/20,20200527
