국가,운항_도착,운항_출발,운항_합계,여객_도착,여객_출발,여객_합계
Japan,649,641,1290,29462,28040,57502
China,1027,1128,2155,18830,71721,90551
Taiwan,91,94,185,4212,1846,6058
Mongolia,3,3,6,812,247,1059
Laos,1,0,1,115,0,115
Malaysia,85,82,167,6496,4238,10734
Myanmar,14,14,28,1363,1578,2941
Vietnam,182,172,354,14253,4396,18649
Brunei,3,3,6,65,59,124
Singapore,72,75,147,3573,2005,5578
Indonesia,86,83,169,12663,7396,20059
Cambodia,43,40,83,5640,4966,10606
Thailand,188,181,369,28526,15090,43616
Philippines,330,325,655,51148,22398,73546
Mexico,24,24,48,1574,1196,2770
US,1002,891,1893,58325,43196,101521
Brazil,10,10,20,0,0,0
Chile,0,0,0,0,0,0
Canada,71,69,140,9473,11121,20594
Peru,0,0,0,0,0,0
Netherlands,29,29,58,4347,2051,6398
Norway,9,8,17,0,0,0
Germany,185,177,362,8204,3886,12090
Russia,149,151,300,3451,8832,12283
Luxembourg,12,13,25,0,0,0
Belgium,14,14,28,0,0,0
Sweden,13,13,26,0,0,0
Switzerland,5,4,9,0,0,0
Spain,18,16,34,1155,497,1652
Azerbaijan,15,15,30,0,0,0
United Kingdom,61,59,120,8230,2833,11063
Austria,4,3,7,424,164,588
Uzbekistan,6,6,12,678,821,1499
Italy,46,45,91,1902,370,2272
Czechia,3,2,5,587,234,821
Kazakhstan,14,14,28,1540,1894,3434
Kyrgyzstan,0,0,0,0,0,0
Turkey,12,12,24,305,110,415
Portugal,2,2,4,326,125,451
Poland,6,6,12,828,706,1534
France,44,42,86,9222,2759,11981
Finland,10,10,20,1140,740,1880
Hungary,1,1,2,136,76,212
Guam,88,83,171,7803,4859,12662
New Zealand,7,6,13,1742,803,2545
Saipan,37,36,73,3641,2224,5865
Palau,14,13,27,1043,668,1711
Hawaii,65,62,127,6872,2748,9620
Australia,28,22,50,4497,2380,6877
United Arab Emirates,46,45,91,6935,4340,11275
Qatar,51,51,102,7326,1472,8798
Nepal,11,10,21,1615,1590,3205
Maldives,1,0,1,132,0,132
Sri Lanka,5,5,10,444,954,1398
Ethiopia,21,12,33,1571,674,2245
Egypt,1,0,1,183,0,183
India,11,8,19,1071,784,1855
