,AR,AU,AT,BO,BR,CA,CL,CN,CO,HR,CZ,EG,EE,FI,FR,DE,GR,HU,IN,ID,IR,IE,IT,JP,KR,KW,MY,MX,NL,PK,PE,PH,PL,PT,QA,RU,SG,ZA,ES,SE,CH,TH,TR,AE,GB,UY,US,VN,date
0,3,4,5,6,3,5,3,0,3,0,7,5,14,10,10,8,7,6,0,1,5,13,10,9,26,0,5,5,12,3,2,5,8,4,16,4,24,2,3,8,14,7,2,9,6,0,5,16,20200301
1,2,7,13,5,3,7,2,22,5,8,14,3,12,12,13,13,5,4,1,4,8,22,10,8,34,17,15,5,14,2,3,6,10,7,17,3,37,3,3,10,23,11,3,10,11,0,9,18,20200302
2,4,7,6,5,2,7,6,44,3,12,14,13,16,9,12,12,4,6,3,3,13,10,11,11,28,25,15,3,12,3,2,5,9,10,12,4,31,2,6,23,24,13,4,12,12,8,10,24,20200303
3,2,8,8,4,3,8,5,22,3,12,10,8,12,10,12,12,9,10,4,2,4,14,14,7,29,17,24,2,12,3,1,5,15,10,25,2,37,2,3,21,22,14,5,14,16,8,11,22,20200304
4,4,8,19,5,3,9,4,45,2,11,9,3,16,17,12,13,10,12,3,1,15,16,17,9,33,13,23,2,13,2,2,9,9,12,13,3,29,9,9,18,24,13,5,10,17,8,13,21,20200305
5,2,9,10,5,3,11,4,33,9,16,8,6,38,8,15,12,9,11,3,2,7,28,21,9,20,13,26,3,17,7,8,11,12,13,10,3,32,5,7,23,27,14,4,9,18,8,15,29,20200306
6,4,9,8,0,3,9,4,0,12,9,7,4,20,11,15,11,14,9,2,1,13,11,34,11,15,17,13,2,12,4,7,13,11,11,20,4,36,5,11,14,26,9,5,9,15,9,13,38,20200307
7,5,8,12,11,4,10,5,29,8,0,12,6,25,21,22,18,13,6,2,1,6,19,42,6,42,25,14,2,17,4,5,13,13,14,25,3,33,4,12,22,39,8,5,20,15,9,14,43,20200308
8,9,12,15,5,4,15,2,65,9,11,18,6,12,22,25,23,17,17,4,3,14,45,52,11,31,16,27,3,22,4,8,42,21,34,16,3,43,8,20,28,36,10,6,21,25,10,23,50,20200309
9,7,17,32,9,5,18,5,21,12,24,29,8,43,39,25,20,28,14,5,3,8,36,53,13,23,21,24,5,27,2,9,50,25,40,30,5,56,9,27,34,40,17,14,12,30,7,26,57,20200310
