,AR,AU,AT,BO,BR,CA,CL,CN,CO,HR,CZ,EG,EE,FI,FR,DE,GR,HU,IN,ID,IR,IE,IT,JP,KR,KW,MY,MX,NL,PK,PE,PH,PL,PT,QA,RU,SG,ZA,ES,SE,CH,TH,TR,AE,GB,UY,US,VN,date
0,44,38,29,63,54,29,35,45,26,0,59,31,50,30,46,75,34,14,18,30,100,57,70,74,58,55,18,48,39,32,20,5,43,61,34,45,50,15,39,47,37,48,12,47,34,0,34,78,20200301
1,30,42,36,26,25,33,24,51,32,42,57,43,50,42,62,58,33,49,17,56,43,53,72,76,97,56,18,50,49,28,22,4,31,48,69,40,54,17,36,60,50,42,7,46,43,43,45,57,20200302
2,12,48,30,75,21,32,24,0,20,14,45,45,50,20,54,61,24,60,19,59,65,33,47,62,61,46,18,39,24,17,18,6,31,55,79,53,49,23,38,44,44,42,7,45,45,0,43,86,20200303
3,26,46,31,24,42,29,30,33,10,14,72,39,25,25,61,56,35,27,28,50,51,41,50,53,34,56,16,31,37,30,14,5,59,50,45,26,32,20,25,59,31,49,11,46,50,0,37,85,20200304
4,23,34,37,25,32,30,25,34,17,22,42,28,100,36,55,50,34,50,26,49,61,50,70,47,36,37,19,27,34,18,11,6,33,45,36,37,48,39,46,36,27,58,9,53,47,41,38,67,20200305
5,19,31,70,0,18,35,25,35,17,36,37,43,53,26,41,48,19,33,19,50,71,68,81,40,45,40,17,32,42,23,18,7,15,44,26,40,57,36,24,62,49,33,11,45,40,40,39,41,20200306
6,28,32,49,33,39,39,30,65,20,34,50,28,61,31,29,45,38,35,19,50,45,50,47,37,51,18,16,26,31,12,25,8,51,29,30,37,41,32,53,32,42,57,14,41,37,0,42,88,20200307
7,26,33,54,31,57,36,21,43,16,33,39,34,46,30,57,46,39,29,22,84,22,45,82,46,30,72,18,39,42,16,38,10,50,38,59,31,52,35,38,54,74,60,10,52,45,50,38,67,20200308
8,17,34,45,25,33,42,31,67,31,28,43,37,36,33,55,55,43,28,23,45,42,65,82,55,43,46,21,30,53,10,21,16,51,32,89,45,62,39,49,35,35,57,8,52,51,37,46,53,20200309
9,34,44,49,33,25,48,44,64,12,43,75,71,49,26,61,40,69,65,25,47,49,78,87,75,59,28,19,25,41,20,21,24,89,66,68,44,51,40,53,52,55,54,11,37,56,0,54,62,20200310
10,38,45,83,0,46,61,35,0,30,65,62,31,96,37,56,72,63,50,25,45,35,82,100,56,88,37,22,54,81,30,20,20,85,78,63,60,54,41,74,92,67,51,23,64,65,37,64,100,20200311
11,62,63,96,44,40,100,35,62,40,92,37,53,77,93,85,100,99,100,34,51,65,87,92,70,53,19,25,62,90,39,51,30,100,87,79,79,90,45,100,100,89,65,27,67,84,0,100,65,20200312
12,72,73,77,41,37,96,54,61,40,41,74,66,42,100,100,89,81,37,41,63,44,79,90,60,54,41,38,72,100,53,36,32,98,82,100,52,87,48,89,88,51,45,26,68,78,65,89,78,20200313
13,59,64,47,46,47,81,46,82,39,40,83,53,46,40,85,97,78,55,57,81,52,92,85,80,41,78,37,52,80,50,52,38,75,100,65,53,70,47,80,87,100,62,18,66,84,46,70,57,20200314
14,70,74,79,84,100,72,100,41,48,61,100,66,47,48,70,94,75,48,52,92,56,100,84,37,20,100,52,82,77,41,66,39,60,84,71,51,100,62,92,57,68,53,28,77,88,100,67,73,20200315
15,82,76,100,42,57,74,84,30,73,53,40,100,57,45,66,77,100,44,51,90,21,67,62,73,51,67,49,100,80,42,42,100,46,49,77,64,94,100,85,73,52,50,21,77,92,42,67,73,20200316
16,43,76,80,84,42,70,42,67,39,34,33,86,84,51,66,83,45,44,100,91,21,76,98,82,42,47,49,73,74,56,100,44,50,70,88,91,94,80,77,82,92,58,27,79,100,79,62,62,20200317
17,49,76,64,42,39,68,73,72,44,61,40,83,79,59,68,90,76,52,93,90,55,60,58,90,26,37,75,76,76,74,74,35,50,78,82,71,78,80,56,90,62,85,49,100,81,38,60,60,20200318
18,64,66,87,100,40,64,87,29,29,56,66,68,33,37,60,84,84,68,71,84,33,60,74,100,34,58,100,44,67,71,67,32,44,49,66,76,89,64,73,65,31,46,100,73,68,0,57,76,20200319
19,68,74,91,45,57,61,84,29,54,85,38,84,50,42,50,79,71,44,68,92,44,53,76,58,26,58,98,47,70,50,51,30,36,55,73,71,76,62,61,71,40,63,70,67,62,38,52,76,20200320
20,100,67,89,67,78,69,53,55,100,100,40,67,49,45,69,50,67,32,85,87,30,44,69,92,61,67,88,50,61,69,33,27,45,76,39,96,67,67,83,86,55,87,52,63,58,47,52,64,20200321
21,29,68,71,54,90,68,92,41,70,58,79,76,49,44,71,60,51,39,77,100,43,52,92,76,100,49,69,56,67,86,43,25,84,63,67,100,82,59,85,93,63,100,47,72,68,47,54,70,20200322
22,31,62,32,38,49,52,33,37,38,47,26,75,53,29,47,60,47,29,82,84,83,45,60,45,16,55,58,54,44,91,57,27,49,34,73,43,75,74,37,58,46,81,28,70,45,35,45,62,20200323
23,24,62,39,47,59,49,31,0,26,39,44,68,40,25,42,58,80,25,76,86,43,40,57,60,34,0,49,53,46,86,37,25,51,40,74,66,67,63,37,69,35,36,33,71,42,55,44,50,20200324
24,34,61,54,58,49,48,39,42,13,59,37,52,32,25,51,64,71,41,55,91,36,39,39,36,51,66,39,42,42,100,25,27,49,40,58,70,80,67,42,47,39,37,23,58,43,73,40,62,20200325
25,48,56,40,55,40,48,33,28,28,46,37,40,50,27,46,54,33,30,51,78,21,38,46,69,42,46,49,43,38,89,24,26,76,37,24,47,74,60,58,49,30,60,28,63,38,37,44,65,20200326
26,38,55,82,36,32,42,30,28,13,38,58,56,48,26,44,49,38,38,54,69,49,55,48,56,69,37,40,35,33,68,30,25,60,33,90,62,71,84,56,46,13,37,25,42,43,0,41,74,20200327
27,19,56,48,61,38,50,16,41,24,46,25,35,71,41,40,43,64,39,57,72,47,47,72,50,60,93,39,29,55,60,34,28,32,38,50,53,80,67,39,45,32,44,27,57,61,43,42,87,20200328
28,25,54,22,42,51,49,38,100,19,96,35,30,55,29,37,53,53,42,49,68,40,56,54,42,99,46,31,39,46,72,20,20,27,46,61,75,81,48,57,58,52,76,33,50,53,43,48,94,20200329
