,AR,AU,AT,BO,BR,CA,CL,CN,CO,HR,CZ,EG,EE,FI,FR,DE,GR,HU,IN,ID,IR,IE,IT,JP,KR,KW,MY,MX,NL,PK,PE,PH,PL,PT,QA,RU,SG,ZA,ES,SE,CH,TH,TR,AE,GB,UY,US,VN,date
0,35,51,31,0,58,25,46,38,52,16,20,55,17,53,43,28,26,43,14,63,33,35,35,48,62,100,14,52,39,35,86,33,34,45,100,57,12,11,39,66,52,60,41,40,34,45,13,63,20200301
1,45,57,30,29,41,22,47,30,39,18,19,65,38,47,38,27,23,32,18,96,45,28,31,50,66,86,20,39,39,36,41,31,28,39,93,41,11,9,26,68,35,95,42,44,37,0,13,73,20200302
2,38,54,24,28,43,20,18,22,25,7,17,45,28,32,35,25,25,22,49,94,34,19,32,45,73,68,25,33,34,29,36,31,33,48,70,55,11,10,34,64,57,82,27,41,32,71,11,59,20200303
3,37,51,22,27,44,19,55,15,40,25,16,66,22,32,34,20,18,35,100,67,28,29,33,60,71,65,23,43,27,22,18,37,28,43,70,63,12,10,34,61,41,73,34,41,34,70,10,66,20200304
4,22,52,26,55,38,19,45,15,69,27,14,49,21,24,31,22,32,32,92,66,32,25,34,49,100,51,29,48,36,14,40,26,36,28,47,49,13,28,35,57,31,72,25,46,30,0,10,66,20200305
5,49,45,23,0,48,18,46,30,57,7,13,63,21,38,28,25,29,30,60,58,40,23,42,47,80,44,33,35,34,16,47,30,30,31,31,59,12,23,31,75,42,80,35,40,26,35,10,61,20200306
6,68,43,24,0,42,21,36,77,44,35,18,35,31,39,30,25,25,34,46,54,29,21,41,48,61,15,31,54,34,15,51,44,33,27,32,81,12,14,23,55,33,69,32,43,24,85,10,67,20200307
7,42,47,29,34,41,19,51,86,39,21,13,47,10,36,31,21,31,39,33,56,22,20,41,36,69,50,29,26,29,15,30,40,25,24,32,82,13,13,38,62,47,61,30,41,25,42,9,75,20200308
8,45,43,17,28,35,17,28,36,36,18,14,58,14,35,28,23,37,29,37,48,35,26,55,33,74,45,32,54,23,20,32,78,29,54,83,78,13,13,35,55,40,67,27,35,22,65,9,72,20200309
9,57,48,26,40,40,18,32,50,45,26,15,60,36,33,24,45,27,45,34,50,39,28,68,42,53,33,33,42,34,19,28,85,29,47,60,65,11,13,36,68,47,53,51,39,26,0,9,67,20200310
10,29,49,33,55,37,23,39,28,42,45,18,41,30,45,28,44,18,54,37,51,30,25,64,47,60,32,39,35,42,20,34,89,39,40,67,49,11,15,42,60,33,56,100,31,27,0,10,77,20200311
11,51,62,33,58,52,32,32,61,59,62,21,45,44,66,28,27,51,67,39,50,38,31,70,42,63,58,59,50,44,30,27,98,35,42,67,62,15,14,54,86,40,62,67,38,34,0,14,74,20200312
12,39,60,42,34,65,34,45,65,65,53,23,50,25,38,31,31,51,70,51,55,40,30,59,47,57,39,70,51,43,50,47,97,34,69,35,53,13,16,38,63,54,68,46,30,34,34,13,74,20200313
13,49,64,72,39,76,29,65,36,58,46,29,59,44,66,34,30,67,87,64,68,41,32,73,38,52,38,74,47,42,72,44,95,49,69,69,72,14,16,41,77,75,66,40,39,36,79,13,65,20200314
14,43,68,34,39,71,30,45,85,58,43,50,82,42,44,39,28,43,78,57,71,20,40,75,37,48,30,74,52,45,50,33,95,32,92,56,87,15,29,39,82,45,70,41,42,43,65,13,100,20200315
15,30,61,26,46,75,28,49,76,43,41,86,85,51,40,34,23,46,82,60,70,34,26,60,40,71,39,88,70,49,71,57,100,30,77,49,73,14,42,45,65,43,57,43,49,40,60,12,97,20200316
16,46,68,44,41,63,29,55,49,56,32,100,83,32,58,30,49,57,84,58,63,24,35,54,44,52,52,72,62,44,72,50,80,36,73,40,100,13,36,34,54,37,90,44,45,40,34,13,92,20200317
